1,-0.41394,,,,
,,,,,
2,0.13794,,,,
,,,,,
3,0.20958,,,,
,,,,,
4,0.07198,,,,0.036129205
,,,,,
5,0.11296,,,,
,,,,,
6,-0.04238,,,,
,,,,,
7,0.29696,,,,
,,,,,
8,0.18288,,,,
,,,,,
9,0.10846,,,,
,,,,,
10,-0.06214,,,,
,,,,,
11,-0.0136,,,,
,,,,,
12,0.43286,,,,
,,,,,
13,-0.00696,,,,
,,,,,
14,0.28076,,,,
,,,,,
15,0.20852,,,,
,,,,,
16,-0.086,,,,
,,,,,
17,0.05599455,,,,
,,,,,
18,-0.172,,,,
,,,,,
19,0.15858,,,,
,,,,,
20,-0.12252,,,,
,,,,,
21,0.07012,,,,
,,,,,
22,-0.16112,,,,
,,,,,
23,-0.05948,,,,
,,,,,
24,-0.02134,,,,
,,,,,
25,0.00872,,,,
,,,,,
26,-0.06472,,,,
,,,,,
27,-0.06846,,,,
,,,,,
28,0.05004,,,,
,,,,,
29,0.22864,,,,
,,,,,
30,0.02296,,,,
,,,,,
31,-0.1482,,,,
,,,,,
32,-0.03896,,,,
