1,-0.26014,,,
,,,,
2,0.14704,,,
,,,,
3,0.1155,,,0.0232075
,,,,
4,0.00082,,,
,,,,
5,0.047,,,
,,,,
6,0.01624,,,
,,,,
7,0.31026,,,
,,,,
8,0.13846,,,
,,,,
9,-0.00394,,,
,,,,
10,0.04778,,,
,,,,
11,-0.07866,,,
,,,,
12,0.3885,,,
,,,,
13,-0.09358,,,
,,,,
14,0.2205,,,
,,,,
15,0.15414,,,
,,,,
16,-0.07258,,,
,,,,
17,-0.04374,,,
,,,,
18,-0.26398,,,
,,,,
19,0.18536,,,
,,,,
20,-0.13758,,,
,,,,
21,0.0335,,,
,,,,
22,-0.07336,,,
,,,,
23,-0.03912,,,
,,,,
24,0.11674,,,
,,,,
25,0.0412,,,
,,,,
26,-0.11756,,,
,,,,
27,0.00448,,,
,,,,
28,-0.0493,,,
,,,,
29,0.21036,,,
,,,,
30,-0.0209,,,
,,,,
31,0.03766,,,
,,,,
32,-0.21846,,,
