1,0.01302,,,,
,,,,,
2,-0.1714,,,,
,,,,,
3,-0.09488,,,,
,,,,,-0.027662266
4,-0.12128,,,,
,,,,,
5,-0.02006,,,,
,,,,,
6,-0.05112,,,,
,,,,,
7,0.1582,,,,
,,,,,
8,0.12118,,,,
,,,,,
9,-0.13816,,,,
,,,,,
10,-0.20498,,,,
,,,,,
11,-0.1094,,,,
,,,,,
12,-0.02012,,,,
,,,,,
13,-0.15728,,,,
,,,,,
14,0.08148,,,,
,,,,,
15,0.02858,,,,
,,,,,
16,0.0162,,,,
,,,,,
17,0.11892,,,,
,,,,,
18,-0.00334,,,,
,,,,,
19,0.13286,,,,
,,,,,
20,0.09058,,,,
,,,,,
21,0.21984,,,,
,,,,,
22,-0.1411,,,,
,,,,,
23,0.1055,,,,
,,,,,
24,-0.01476,,,,
,,,,,
25,-0.00144,,,,
,,,,,
26,-0.1088,,,,
,,,,,
27,-0.02954,,,,
,,,,,
28,0.03336,,,,
,,,,,
29,-0.09142,,,,
,,,,,
30,0.05996,,,,
,,,,,
31,-0.05882,,,,
,,,,,
32,0.02374,,,,
,,,,,
33,0.03526,,,,
,,,,,
34,-0.09986,,,,
,,,,,
35,-0.11016,,,,
,,,,,
36,-0.02056,,,,
,,,,,
37,0.04076,,,,
,,,,,
38,-0.0742,,,,
,,,,,
39,-0.20678,,,,
,,,,,
40,-0.16656,,,,
,,,,,
41,-0.1481,,,,
,,,,,
42,0.0113,,,,
,,,,,
43,-0.1782,,,,
,,,,,
44,-0.11466,,,,
,,,,,
45,-0.05034,,,,
,,,,,
46,0.01064,,,,
,,,,,
47,-0.11024,,,,
,,,,,
48,-0.09072,,,,
,,,,,
49,-0.01554,,,,
,,,,,
50,-0.04528,,,,
,,,,,
51,-0.0953,,,,
,,,,,
52,-0.031,,,,
,,,,,
53,0.0369,,,,
,,,,,
54,-0.03106,,,,
,,,,,
55,-0.00854,,,,
,,,,,
56,-0.16174,,,,
,,,,,
57,-0.1764,,,,
,,,,,
58,-0.08786,,,,
,,,,,
59,0.0296,,,,
,,,,,
60,-0.00522,,,,
,,,,,
61,-0.09638,,,,
,,,,,
62,0.1105,,,,
,,,,,
63,0.04338,,,,
,,,,,
64,-0.10438,,,,
,,,,,
65,0.03094,,,,
,,,,,
66,0.03462,,,,
,,,,,
67,-0.01028,,,,
,,,,,
68,-0.06528,,,,
,,,,,
69,-0.21688,,,,
,,,,,
70,-0.02372,,,,
,,,,,
71,-0.03446,,,,
,,,,,
72,-0.0092,,,,
,,,,,
73,0.21288,,,,
,,,,,
74,0.1126,,,,
,,,,,
75,-0.21522,,,,
,,,,,
76,0.09804,,,,
,,,,,
77,0.15028,,,,
,,,,,
78,-0.0164,,,,
,,,,,
79,-0.0278,,,,
,,,,,
80,0.0356,,,,
,,,,,
81,-0.091,,,,
,,,,,
82,-0.11122,,,,
,,,,,
83,-0.00584,,,,
,,,,,
84,-0.12548,,,,
,,,,,
85,-0.00562,,,,
,,,,,
86,-0.01384,,,,
,,,,,
87,-0.06114,,,,
,,,,,
88,-0.13914,,,,
,,,,,
89,-0.0067,,,,
,,,,,
90,0.03094,,,,
,,,,,
91,0.0289,,,,
,,,,,
92,-0.08398,,,,
,,,,,
93,-0.01888,,,,
,,,,,
94,-0.11512,,,,
,,,,,
95,0.143,,,,
,,,,,
96,0.08924,,,,
,,,,,
97,0.152,,,,
,,,,,
98,-0.17208,,,,
,,,,,
99,-0.0095,,,,
,,,,,
100,-0.16738,,,,
,,,,,
101,0.0172,,,,
,,,,,
102,0.05422,,,,
,,,,,
103,0.10484,,,,
,,,,,
104,0.0161,,,,
,,,,,
105,0.13624,,,,
,,,,,
106,-0.21846,,,,
,,,,,
107,-0.01002,,,,
,,,,,
108,0.01176,,,,
,,,,,
109,-0.12176,,,,
,,,,,
110,-0.18634,,,,
,,,,,
111,-0.09274,,,,
,,,,,
112,-0.02464,,,,
,,,,,
113,0.01068,,,,
