1,-0.34716,,,,
,,,,,
2,0.04912,,,,
,,,,,
3,0.21358,,,,0.038014375
,,,,,
4,0.05044,,,,
,,,,,
5,0.08836,,,,
,,,,,
6,-0.06074,,,,
,,,,,
7,0.23094,,,,
,,,,,
8,0.16252,,,,
,,,,,
9,0.13162,,,,
,,,,,
10,0.13662,,,,
,,,,,
11,0.02758,,,,
,,,,,
12,0.41718,,,,
,,,,,
13,-0.06368,,,,
,,,,,
14,0.2347,,,,
,,,,,
15,0.28358,,,,
,,,,,
16,-0.08572,,,,
,,,,,
17,0.00222,,,,
,,,,,
18,-0.1067,,,,
,,,,,
19,0.2303,,,,
,,,,,
20,-0.05436,,,,
,,,,,
21,0.11034,,,,
,,,,,
22,-0.02884,,,,
,,,,,
23,-0.00628,,,,
,,,,,
24,0.04198,,,,
,,,,,
25,-0.04136,,,,
,,,,,
26,-0.0575,,,,
,,,,,
27,-0.06584,,,,
,,,,,
28,-0.12062,,,,
,,,,,
29,0.35998,,,,
,,,,,
30,-0.12862,,,,
,,,,,
31,-0.18178,,,,
,,,,,
32,-0.2054,,,,
